gendr,age_category,TD_control,TD_test,TD_difference,TD_difference%,SD_control,SD_test,SD_difference,SD_difference%,S1_control,S1_test,S1_difference,S1_difference%,S2_control,S2_test,S2_difference,S2_difference%,S3_control,S3_test,S3_difference,S3_difference%,BS1_control,BS1_test,BS1_difference,BS1_difference%,BS2_control,BS2_test,bs2_difference,bs2_difference%
M,50-60,7.166349365397461,7.071899030424607,-0.09445033497285404,-0.01317970003373059,0.8317038102084832,0.7840791180285344,-0.0476246921799488,-0.057261601540590235,0.7701089648340762,0.8230865889878912,0.05297762415381502,0.06879237429112295,1.8855252606255013,1.7787427912341407,-0.1067824693913606,-0.05663274400043661,1.8457748538011696,1.6097908979089792,-0.23598395589219034,-0.12785088896742058,0.6782407407407407,0.6639042357274401,-0.014336505013300638,-0.02113778213565143,0.8079365079365078,0.8995169082125604,0.09158040027605252,0.11335098658922016
M,60-70,7.8624843945068665,7.659216867469879,-0.2032675270369877,-0.0258528369454063,0.9627270064440538,0.851962990747687,-0.11076401569636685,-0.1150523616299981,0.9027100271002709,0.9420183982683982,0.03930837116812724,0.04354484827691074,1.319377162629758,1.2673875855327468,-0.05198957709701113,-0.039404636194692366,2.2855935317897833,1.9834219072925894,-0.3021716244971939,-0.13220707019614808,0.6499442586399109,0.6350439882697947,-0.014900270370116209,-0.022925458871345228,0.9100757575757575,0.9608187134502923,0.05074295587453481,0.05575684820976101
M,over 70,8.734421768707483,8.468984962406015,-0.2654368063014676,-0.030389739965665408,1.192298578199052,1.019611528822055,-0.17268704937699697,-0.14483540661252658,1.0610670194003526,1.0508810572687226,-0.010185962131630033,-0.009599734932282167,1.1962510187449062,1.213680154142582,0.017429135397675655,0.014569797746932789,2.8219642857142855,2.3627088830255056,-0.45925540268877985,-0.16274316617459772,0.6720238095238095,0.6479674796747967,-0.024056329849012736,-0.035796841582233285,1.1664383561643836,1.1171130952380952,-0.04932526092628842,-0.0422870704359255
M,under 20,4.561805555555556,4.296794871794872,-0.2650106837606838,-0.05809337564551453,0.8053763440860214,0.3223809523809523,-0.4829953917050691,-0.5997139042532902,0.3005208333333333,0.6328947368421053,0.332373903508772,1.1059928851591723,1.4438888888888888,1.1692708333333333,-0.2746180555555555,-0.1901933435936899,1.3839285714285714,1.0395833333333333,-0.3443452380952381,-0.24881720430107523,0.15999999999999995,0.26944444444444443,0.10944444444444448,0.6840277777777783,0.3416666666666667,0.4,0.05833333333333335,0.1707317073170731
U,20-30,4.953109153989859,4.876062786134729,-0.07704636785512964,-0.01555515242240657,0.5515530303030303,0.5784751278475128,0.026922097544482493,0.04881143981693148,0.35064621913580246,0.6419706813260037,0.2913244621902012,0.8308216267330508,1.5556630131098217,1.4132546605096632,-0.1424083526001585,-0.09154190297002662,1.3958680555555556,0.9590080428954423,-0.4368600126601133,-0.31296655219052416,0.5165234001910219,0.5306620209059233,0.014138620714901351,0.02737266251572068,0.4863412228796844,0.5274834437086092,0.041142220828924825,0.08459538055465843
U,30-40,5.486319218241042,5.285877513711152,-0.20044170452989007,-0.03653482354133841,0.5949132492113565,0.6438857263335441,0.04897247712218766,0.08231868627418826,0.412608353033885,0.6304635761589404,0.21785522312505545,0.5279951836243226,1.6477442528735633,1.4630186958504332,-0.1847255570231301,-0.11210814827663951,1.4480196451204055,1.0308215788171244,-0.41719806630328105,-0.28811630264076304,0.6147286821705427,0.46153846153846156,-0.1531902206320811,-0.24919972839266658,0.5120030581039755,0.7257009345794392,0.21369787647546368,0.41737617206197775
U,40-50,6.212800565770863,6.091821808510638,-0.12097875726022433,-0.01947249971723719,0.6962603380079108,0.7176177536231884,0.021357415615277597,0.030674468226042917,0.5064308681672026,0.6669565217391303,0.16052565357192772,0.3169744651483779,1.8591105863833137,1.6854025218234725,-0.17370806455984122,-0.09343611177954203,1.6392708333333335,1.3548715203426125,-0.28439931299072096,-0.1734913518911433,0.6445544554455445,0.5537984496124031,-0.09075600583314136,-0.14080424868121777,0.6804347826086957,0.6397689768976897,-0.040665805711005976,-0.05976444289796401
U,50-60,7.469401378122308,7.339753086419753,-0.12964829170255499,-0.01735725329773974,0.8317020621729763,0.7599895260539408,-0.0717125361190355,-0.08622382867691003,0.630247465712582,0.830367118914605,0.20011965320202307,0.31752551829107345,1.8383802816901407,1.7404761904761905,-0.09790409121395016,-0.053255625176713006,2.098558968524839,1.702819083023544,-0.39573988550129524,-0.1885769670696824,0.745432098765432,0.6749211356466877,-0.07051096311874439,-0.09459072561474491,0.7557109557109557,0.8335042735042735,0.07779331779331777,0.10294057166358206
U,60-70,7.477167630057804,7.326052332195677,-0.15111529786212685,-0.020210232716283083,0.9748873873873873,0.874044301536263,-0.10084308585112434,-0.1034407534201206,0.7201193520886615,0.9008575689783743,0.1807382168897128,0.2509836964740537,1.351025641025641,1.2494970516822754,-0.1015285893433655,-0.07514926901482744,2.362816188870152,1.9678819444444444,-0.39493424442570757,-0.16714556396134927,0.676537216828479,0.714,0.037462783171520964,0.05537431236546264,0.8980496453900708,0.9499136442141624,0.05186399882409154,0.05775181705190047
U,over 70,8.774104683195594,7.027635327635328,-1.746469355560266,-0.19904815575145252,1.1395214521452146,0.9220524017467249,-0.21746905039848974,-0.19084243652376331,0.8417094017094017,1.0186728395061728,0.17696343779677115,0.2102429145229714,1.1508130081300814,1.1821637426900586,0.03135073455997728,0.027242249034808985,2.5643552311435522,2.3012345679012345,-0.26312066324231775,-0.10260694776089241,0.8063636363636364,0.7153153153153152,-0.09104832104832117,-0.11291223579836895,0.8624183006535948,1.0911764705882352,0.22875816993464038,0.26525198938992034
U,under 20,5.0115384615384615,4.8246376811594205,-0.186900780379041,-0.037294092784766475,0.4920698924731183,0.5936147186147186,0.10154482614160032,0.20636260761909497,0.32486111111111104,0.7090277777777777,0.38416666666666666,1.1825566481402312,1.4448717948717946,1.4633333333333334,0.01846153846153875,0.012777284826974489,1.5784789644012946,0.9860730593607306,-0.592405905040564,-0.3753017419939195,0.5596491228070175,0.6435897435897436,0.08394062078272613,0.14998794309139152,0.6623655913978495,0.35357142857142854,-0.3087941628264209,-0.46619897959183676
